"Status","From","To"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conduct a Security Patrol in an Area of Responsibility.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conduct_a_Security_Patrol_in_an_Area_of_Responsibility.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conduct Sales and Support Services.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conduct_Sales_and_Support_Services.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conducting a Technical Meeting.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conducting_a_Technical_Meeting.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conducting Organisational Needs Analysis.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Conducting_Organisational_Needs_Analysis.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contract Administration in a New Business.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contract_Administration_in_a_New_Business.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contribute to a Diverse Working Environment in a Contact Centre.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contribute_to_a_Diverse_Working_Environment_in_a_Contact_Centre.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contributing to Project Initiation and Scope Definition.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contributing_to_Project_Initiation_and_Scope_Definition.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contributing to Project Risk Management.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Contributing_to_Project_Risk_Management.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Control Expenses Within a Budget.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Control_Expenses_Within_a_Budget.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Create Database Access with SQL.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Create_Database_Access_with_SQL.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Critical Thinking and Problem Resolution.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Critical_Thinking_and_Problem_Resolution.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Cultivating Productive Supply Chain Culture.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Cultivating_Productive_Supply_Chain_Culture.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Cultural Awareness.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Cultural_Awareness.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Customer Data Collection and Recording.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Customer_Data_Collection_and_Recording.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Customer Satisfaction.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Customer_Satisfaction.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Customer Service for Professionals.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Customer_Service_for_Professionals.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Data Checking Assessment.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Data_Checking_Assessment.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Define Core and Secondary Functions of an Organisation.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Define_Core_and_Secondary_Functions_of_an_Organisation.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Demonstrate an Understanding of Contact Centre and BPO Working Practices.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Demonstrate_an_Understanding_of_Contact_Centre_and_BPO_Working_Practices.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Demonstrate Automotive Vehicle Product Knowledge.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Demonstrate_Automotive_Vehicle_Product_Knowledge.png"
"Renamed","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Demonstrate Knowledge and Application of Ethical Conduct in a Business Environment.png","C:\Websites\learningmanagementsystem\Images\Course_Images\TAP_Courses_PNG_FIles\Demonstrate_Knowledge_and_Application_of_Ethical_Conduct_in_a_Business_Environment.png"
